filename,cmax,state,runtime,best_solution_time
aslib0_171a.RCP,100,Optimal,0.152,0.041
aslib0_172a.RCP,97,Optimal,0.067,0.055
aslib0_173a.RCP,106,Optimal,0.174,0.146
aslib0_174a.RCP,96,Optimal,0.068,0.054
aslib0_175a.RCP,80,Optimal,0.388,0.359
aslib0_176a.RCP,95,Optimal,0.332,0.054
aslib0_177a.RCP,95,Optimal,0.088,0.066
aslib0_178a.RCP,81,Optimal,0.12,0.093
aslib0_179a.RCP,92,Optimal,0.079,0.058
aslib0_180a.RCP,84,Optimal,0.139,0.073
aslib0_181a.RCP,100,Optimal,0.082,0.064
aslib0_182a.RCP,92,Optimal,0.053,0.045
aslib0_183a.RCP,91,Optimal,0.045,0.031
aslib0_184a.RCP,107,Optimal,0.112,0.054
aslib0_185a.RCP,97,Optimal,0.049,0.041
aslib0_186a.RCP,100,Optimal,0.065,0.04
aslib0_187a.RCP,90,Optimal,0.089,0.059
aslib0_188a.RCP,95,Optimal,0.126,0.049
aslib0_189a.RCP,88,Optimal,0.094,0.042
aslib0_190a.RCP,90,Optimal,0.064,0.042
aslib0_191a.RCP,100,Optimal,0.04,0.031
aslib0_192a.RCP,88,Optimal,0.049,0.033
aslib0_193a.RCP,101,Optimal,0.047,0.036
aslib0_194a.RCP,78,Optimal,0.116,0.041
aslib0_195a.RCP,92,Optimal,0.551,0.039
aslib0_196a.RCP,104,Optimal,0.045,0.027
aslib0_197a.RCP,85,Optimal,0.108,0.03
aslib0_198a.RCP,101,Optimal,0.041,0.03
aslib0_199a.RCP,104,Optimal,0.061,0.05
aslib0_200a.RCP,82,Optimal,0.092,0.057
aslib0_201a.RCP,86,Optimal,0.048,0.034
aslib0_202a.RCP,108,Optimal,0.575,0.032
aslib0_203a.RCP,90,Optimal,0.18,0.166
aslib0_204a.RCP,81,Optimal,0.08,0.057
aslib0_205a.RCP,86,Optimal,0.158,0.087
aslib0_206a.RCP,87,Optimal,0.103,0.071
aslib0_207a.RCP,87,Optimal,0.08,0.058
aslib0_208a.RCP,81,Optimal,0.104,0.086
aslib0_209a.RCP,80,Optimal,0.142,0.125
aslib0_210a.RCP,81,Optimal,0.084,0.065
aslib0_211a.RCP,100,Optimal,0.043,0.031
aslib0_212a.RCP,94,Optimal,0.074,0.053
aslib0_213a.RCP,100,Optimal,0.043,0.032
aslib0_214a.RCP,76,Optimal,0.061,0.041
aslib0_215a.RCP,99,Optimal,0.143,0.111
aslib0_216a.RCP,90,Feasible,5.027,0.03
aslib0_217a.RCP,88,Optimal,0.065,0.053
aslib0_218a.RCP,89,Optimal,0.109,0.083
aslib0_219a.RCP,83,Optimal,0.227,0.086
aslib0_220a.RCP,90,Optimal,0.442,0.331
aslib0_221a.RCP,102,Optimal,0.099,0.073
aslib0_222a.RCP,91,Optimal,0.079,0.057
aslib0_223a.RCP,96,Optimal,0.146,0.068
aslib0_224a.RCP,85,Optimal,0.107,0.08
aslib0_225a.RCP,85,Optimal,0.061,0.049
aslib0_226a.RCP,94,Optimal,0.064,0.051
aslib0_227a.RCP,90,Optimal,0.079,0.058
aslib0_228a.RCP,92,Optimal,0.092,0.067
aslib0_229a.RCP,97,Optimal,0.145,0.105
aslib0_230a.RCP,94,Optimal,0.55,0.121
aslib0_231a.RCP,93,Optimal,0.095,0.056
aslib0_232a.RCP,81,Optimal,0.074,0.061
aslib0_233a.RCP,83,Optimal,0.151,0.07
aslib0_234a.RCP,82,Optimal,0.061,0.049
aslib0_235a.RCP,88,Optimal,0.072,0.055
aslib0_236a.RCP,88,Optimal,0.073,0.06
aslib0_237a.RCP,99,Optimal,0.542,0.215
aslib0_238a.RCP,86,Optimal,0.154,0.114
aslib0_239a.RCP,82,Optimal,0.114,0.074
aslib0_240a.RCP,92,Optimal,0.076,0.061
aslib0_241a.RCP,94,Optimal,0.088,0.065
aslib0_242a.RCP,100,Optimal,0.108,0.07
aslib0_243a.RCP,75,Optimal,0.11,0.088
aslib0_244a.RCP,98,Optimal,0.089,0.066
aslib0_245a.RCP,94,Optimal,0.049,0.034
aslib0_246a.RCP,107,Optimal,0.102,0.07
aslib0_247a.RCP,92,Optimal,0.084,0.032
aslib0_248a.RCP,90,Optimal,0.064,0.054
aslib0_249a.RCP,94,Optimal,0.074,0.058
aslib0_250a.RCP,95,Optimal,0.083,0.063
aslib0_251a.RCP,87,Optimal,0.063,0.054
aslib0_252a.RCP,93,Optimal,0.061,0.05
aslib0_253a.RCP,91,Optimal,0.076,0.053
aslib0_254a.RCP,96,Optimal,0.083,0.06
aslib0_255a.RCP,100,Optimal,0.088,0.06
aslib0_256a.RCP,92,Optimal,0.109,0.069
aslib0_257a.RCP,98,Optimal,0.107,0.089
aslib0_258a.RCP,106,Optimal,0.097,0.072
aslib0_259a.RCP,78,Optimal,0.071,0.056
aslib0_260a.RCP,94,Optimal,0.072,0.059
aslib0_261a.RCP,79,Optimal,0.097,0.067
aslib0_262a.RCP,89,Optimal,0.097,0.063
aslib0_263a.RCP,90,Optimal,0.104,0.071
aslib0_264a.RCP,89,Optimal,0.111,0.069
aslib0_265a.RCP,90,Optimal,0.071,0.058
aslib0_266a.RCP,96,Optimal,0.047,0.035
aslib0_267a.RCP,99,Optimal,0.071,0.06
aslib0_268a.RCP,87,Optimal,0.074,0.064
aslib0_269a.RCP,87,Optimal,0.039,0.03
aslib0_270a.RCP,91,Optimal,0.035,0.026
aslib0_271a.RCP,91,Optimal,0.089,0.066
aslib0_272a.RCP,81,Optimal,0.093,0.065
aslib0_273a.RCP,91,Optimal,0.079,0.061
aslib0_274a.RCP,83,Optimal,0.07,0.058
aslib0_275a.RCP,86,Optimal,0.085,0.064
aslib0_276a.RCP,73,Optimal,0.078,0.058
aslib0_277a.RCP,90,Optimal,0.11,0.081
aslib0_278a.RCP,99,Optimal,0.074,0.053
aslib0_279a.RCP,103,Optimal,0.117,0.071
